Order ID,Date,Customer ID,Product,Category,Region,Quantity,Unit Price,Revenue
5000,2024-09-01,CUST1037,Non-Stick Pan Set,Home & Kitchen,North,2,2299,4598
5001,2024-09-01,CUST1259,Sports Cap,Apparel,North,4,399,1596
5002,2024-09-01,CUST1214,Wireless Earbuds,Electronics,West,2,1499,2998
5003,2024-09-01,CUST1030,Air Fryer,Home & Kitchen,West,2,4499,8998
5004,2024-09-02,CUST1025,USB-C Hub,Electronics,West,4,1299,5196
5005,2024-09-02,CUST1148,USB-C Hub,Electronics,South,7,1299,9093
5006,2024-09-02,CUST1292,Electric Kettle,Home & Kitchen,North,5,999,4995
5007,2024-09-03,CUST1190,USB-C Hub,Electronics,South,2,1299,2598
5008,2024-09-03,CUST1316,USB-C Hub,Electronics,North,4,1299,5196
5009,2024-09-03,CUST1397,LED Desk Lamp,Office Supplies,West,6,1199,7194
5010,2024-09-04,CUST1127,Desk Organizer,Office Supplies,East,3,799,2397
5011,2024-09-04,CUST1268,Air Fryer,Home & Kitchen,East,8,4499,35992
5012,2024-09-04,CUST1311,Winter Jacket,Apparel,East,2,3299,6598
5013,2024-09-04,CUST1084,USB-C Hub,Electronics,West,6,1299,7794
5014,2024-09-04,CUST1020,Non-Stick Pan Set,Home & Kitchen,West,2,2299,4598
5015,2024-09-05,CUST1296,Cotton T-Shirt,Apparel,West,8,599,4792
5016,2024-09-05,CUST1242,Wireless Earbuds,Electronics,East,2,1499,2998
5017,2024-09-05,CUST1145,Smart Watch,Electronics,West,7,3499,24493
5018,2024-09-05,CUST1181,Running Shoes,Apparel,West,3,2499,7497
5019,2024-09-06,CUST1393,Notebook Pack,Office Supplies,South,5,249,1245
5020,2024-09-06,CUST1200,Coffee Maker,Home & Kitchen,West,8,2999,23992
5021,2024-09-07,CUST1281,Non-Stick Pan Set,Home & Kitchen,West,5,2299,11495
5022,2024-09-07,CUST1361,Non-Stick Pan Set,Home & Kitchen,East,7,2299,16093
5023,2024-09-08,CUST1042,Ergonomic Chair,Office Supplies,South,3,6999,20997
5024,2024-09-08,CUST1006,Coffee Maker,Home & Kitchen,South,8,2999,23992
5025,2024-09-08,CUST1002,Blender,Home & Kitchen,East,3,1799,5397
5026,2024-09-08,CUST1312,LED Desk Lamp,Office Supplies,East,6,1199,7194
